Flow cell,Illumina lane,Lib,BCNumber,BC,Lib_BC,individual,slide ID,Testis Sample,,Testis slide ID,,Ind-Slide-sample,seqsample
FC2,WTCHG_107219,10,6,BC6,Lib 10_6,10,F,4,,Testis 10F,F4,10F4,WTCHG_107219_06
FC2,WTCHG_107219,10,7,BC7,Lib 10_7,10,F,24,,Testis 10F,F24,10F24,WTCHG_107219_07
FC2,WTCHG_107219,10,8,BC8,Lib 10_8,10,F,25,,Testis 10F,F25,10F25,WTCHG_107219_08
FC2,WTCHG_107219,10,9,BC9,Lib 10_9,10,F,26,,Testis 10F,F26,10F26,WTCHG_107219_09
FC2,WTCHG_107219,10,10,BC10,Lib 10_10,10,F,27,,Testis 10F,F27,10F27,WTCHG_107219_10
FC2,WTCHG_107219,10,11,BC11,Lib 10_11,10,F,28,,Testis 10F,F28,10F28,WTCHG_107219_11
FC2,WTCHG_107219,10,12,BC12,Lib 10_12,10,F,29,,Testis 10F,F29,10F29,WTCHG_107219_12
FC2,WTCHG_107219,10,13,BC13,Lib 10_13,10,F,30a,,Testis 10F,F30a,10F30a,WTCHG_107219_13
FC2,WTCHG_107219,10,14,BC14,Lib 10_14,10,F,30b,,Testis 10F,F30b,10F30b,WTCHG_107219_14
FC2,WTCHG_107219,10,15,BC15,Lib 10_15,3,D,1,,Testis 3D,D1,3D1,WTCHG_107219_15
FC2,WTCHG_107219,10,16,BC16,Lib 10_16,3,D,2,,Testis 3D,D2,3D2,WTCHG_107219_16
FC2,WTCHG_107219,10,17,BC17,Lib 10_17,3,D,3,,Testis 3D,D3,3D3,WTCHG_107219_17
FC2,WTCHG_107219,10,18,BC18,Lib 10_18,3,D,4,,Testis 3D,D4,3D4,WTCHG_107219_18
FC2,WTCHG_107220,11,1,BC1,Lib 11_1,3,D,5,,Testis 3D,D5,3D5,WTCHG_107220_01
FC2,WTCHG_107220,11,2,BC2,Lib 11_2,3,D,6,,Testis 3D,D6,3D6,WTCHG_107220_02
